year,species,origin,cult_start,no_parents,endpoint,factor,sample_time,assess_time,rep,suc,unfert,count_method,comments,use_in_model,reason_for_exclusion
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Fertilisation,M,20:25,22:00,1,115,5,Photo,,No,Photo counts
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Fertilisation,M,20:25,22:02,2,111,1,Photo,,No,Photo counts
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Fertilisation,M,20:25,22:05,3,92,3,Photo,,No,Photo counts
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Fertilisation,M,20:25,22:10,4,107,0,Photo,,No,Photo counts
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Fertilisation,M,20:25,22:14,5,109,1,Photo,,No,Photo counts
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Fertilisation,M,20:25,22:20,6,86,1,Photo,,No,Photo counts
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Fertilisation,AS,19:20,22:26,1,131,6,Microscope,Samples collected at end of Fertilisation mode,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Fertilisation,AS,19:20,22:28,2,119,14,Microscope,Samples collected at end of Fertilisation mode,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Fertilisation,AS,19:20,22:31,3,127,5,Microscope,Samples collected at end of Fertilisation mode,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Fertilisation,AS,19:20,22:33,4,128,21,Microscope,Samples collected at end of Fertilisation mode,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Fertilisation,AS,19:20,22:34,5,117,5,Microscope,Samples collected at end of Fertilisation mode,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Fertilisation,AS,19:20,22:36,6,134,17,Microscope,Samples collected at end of Fertilisation mode,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Fertilisation,M,20:25,22:42,1,131,20,Microscope,Overall appears to have more broken embryos than AutoSpawner samples,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Fertilisation,M,20:25,22:46,2,115,10,Microscope,Overall appears to have more broken embryos than AutoSpawner samples,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Fertilisation,M,20:25,22:50,3,107,22,Microscope,Overall appears to have more broken embryos than AutoSpawner samples,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Fertilisation,M,20:25,22:53,4,109,9,Microscope,Overall appears to have more broken embryos than AutoSpawner samples,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Fertilisation,M,20:25,22:54,5,127,14,Microscope,Overall appears to have more broken embryos than AutoSpawner samples,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Fertilisation,M,20:25,22:56,6,95,16,Microscope,Overall appears to have more broken embryos than AutoSpawner samples,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Fertilisation,M,23:59,0:30,1,84,59,Microscope,Relatively low fert rate. Some embryos broken.,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Fertilisation,M,23:59,0:30,2,79,84,Microscope,Relatively low fert rate. Some embryos broken.,Yes,NA
