year,species,origin,cult_start,no_parents,endpoint,factor,tank,tank_rep,settle_date,assess_date,settle_time,inducer,rep,suc,tot,partial_meta,attempt_meta,photo,comments,use_in_model,reason_for_exclusion
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,FSW,1,0,12,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,FSW,2,0,14,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,FSW,3,0,13,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,FSW,4,0,13,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,FSW,5,0,13,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,FSW,6,0,12,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,FSW,7,0,13,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,FSW,8,0,11,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,FSW,9,0,13,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,FSW,10,0,15,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,FSW,11,0,15,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,FSW,12,0,14,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,FSW,13,0,14,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,FSW,14,0,13,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,FSW,15,0,13,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,FSW,16,0,13,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,FSW,17,0,11,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,FSW,18,0,15,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,FSW,19,0,15,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,FSW,20,0,11,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,FSW,21,0,12,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,FSW,22,0,13,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,FSW,23,0,13,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,FSW,24,0,12,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,1,12,12,0,0,No,All have normal morphology & are swimming,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,2,13,14,0,0,No,All have normal morphology & are swimming,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,3,13,13,0,0,No,All have normal morphology & are swimming,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,4,13,13,0,0,No,All have normal morphology & are swimming,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,5,16,16,0,0,No,All have normal morphology & are swimming,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,6,NA,NA,0,0,No,All have normal morphology & are swimming,No,No larvae added to well
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,7,16,16,0,0,Yes,All have normal morphology & are swimming,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,8,13,14,1,0,Yes,All have normal morphology & are swimming,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,9,13,13,0,0,No,All have normal morphology & are swimming,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,10,14,14,0,0,No,All have normal morphology & are swimming,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,11,12,13,0,0,No,All have normal morphology & are swimming,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,12,13,14,0,0,No,All have normal morphology & are swimming,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,13,13,15,0,0,No,All have normal morphology & are swimming,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,14,14,14,0,0,No,All have normal morphology & are swimming,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,15,13,14,0,0,No,All have normal morphology & are swimming,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,16,12,14,0,2,No,All have normal morphology & are swimming,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,17,14,14,0,0,Yes,All have normal morphology & are swimming,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,18,15,15,0,0,No,All have normal morphology & are swimming,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,19,15,15,0,0,No,All have normal morphology & are swimming,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,20,13,13,0,0,No,All have normal morphology & are swimming,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,21,18,18,0,0,No,All have normal morphology & are swimming,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,22,15,15,0,0,No,All have normal morphology & are swimming,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,23,17,17,0,0,No,All have normal morphology & are swimming,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_02,1,18/11/2022,19/11/2022,11/01/1900,Porolithon onkodes fairy dust,24,9,9,0,0,No,All have normal morphology & are swimming,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Metamorphosis,AS,MN_04,2,18/11/2022,19/11/2022,11/01/1900,FSW,1,0,14,0,0,No,All have normal morphology & are swimming,No,Self-settlement control.
