 year,species,origin,endpoint,factor,spawn_date,sample_time,sample_ID,sample_order,sample_location,turb,adj_turb,CASA_date,CASA_start,caffeine,tech_rep,CASA_op,DF,tech_sperm_conc,percent_CoV,sperm_conc,adj_sperm_conc,sperm_conc_mill,adj_sperm_conc_mill,motile_sperm,prog_sperm,VAP,VSL,VCL,slide,total_cells,total_frames,comments,sample_fixed,fixative,include_in_model,reason_for_exclusion,analysis_comment
Nov-22,Atenuis,Falcon Island north,Sperm concentration curve,AS,12/11/2022,18:40,1 - Blank,1,Bottom,0.26,0,12/11/2022,19:26,No,1,C Brunner,0,2600000,83.06,4146666.67,0,4.15,0,5.9,0,23.34,12.93,57.03,Leja,34,3,,Yes,0.5ml sperm + 0.1ml Bette's & 0.5ml sperm + 20킠 Bettes's,No,Test run.,CASA was not calibrated
Nov-22,Atenuis,Falcon Island north,Sperm concentration curve,AS,12/11/2022,18:40,1 - Blank,1,Bottom,0.26,0,12/11/2022,19:37,No,2,C Brunner,0,920000,NA,NA,NA,NA,NA,0,0,0,0,0,Leja,12,3,,Yes,0.5ml sperm + 0.1ml Bette's & 0.5ml sperm + 20킠 Bettes's,No,Test run.,CASA was not calibrated
Nov-22,Atenuis,Falcon Island north,Sperm concentration curve,AS,12/11/2022,18:40,1 - Blank,1,Bottom,0.26,0,12/11/2022,19:47,No,3,C Brunner,0,8920000,NA,NA,NA,NA,NA,5.5,0,48.11,13.72,117.68,Leja,110,3,,Yes,0.5ml sperm + 0.1ml Bette's & 0.5ml sperm + 20킠 Bettes's,No,Test run.,CASA was not calibrated
Nov-22,Atenuis,Falcon Island north,Sperm concentration curve,AS,12/11/2022,18:50,2,2,Bottom,1.5,1.24,12/11/2022,19:51,No,1,C Brunner,0,4210000,72.26,4646666.67,500000,4.65,0.5,1.8,0,21.5,7.19,76.73,Leja,55,3,,Yes,0.5ml sperm + 0.1ml Bette's & 0.5ml sperm + 20킠 Bettes's,No,Test run.,CASA was not calibrated
Nov-22,Atenuis,Falcon Island north,Sperm concentration curve,AS,12/11/2022,18:50,2,2,Bottom,1.5,1.24,12/11/2022,19:57,No,2,C Brunner,0,8960000,NA,NA,NA,NA,NA,2.6,0,18.51,16.59,30.43,Leja,117,3,,Yes,0.5ml sperm + 0.1ml Bette's & 0.5ml sperm + 20킠 Bettes's,No,Test run.,CASA was not calibrated
Nov-22,Atenuis,Falcon Island north,Sperm concentration curve,AS,12/11/2022,18:50,2,2,Bottom,1.5,1.24,12/11/2022,NA,No,3,C Brunner,0,770000,NA,NA,NA,NA,NA,0,0,0,0,0,Leja,NA,NA,,Yes,0.5ml sperm + 0.1ml Bette's & 0.5ml sperm + 20킠 Bettes's,No,Test run.,CASA was not calibrated
Nov-22,Atenuis,Falcon Island north,Sperm concentration curve,AS,12/11/2022,18:53,3,3,Bottom,3.53,3.27,12/11/2022,NA,NA,1,C Brunner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not analysed.,Yes,0.5ml sperm + 0.1ml Bette's & 0.5ml sperm + 20킠 Bettes's,No,Test run.,CASA was not calibrated
Nov-22,Atenuis,Falcon Island north,Sperm concentration curve,AS,12/11/2022,18:54,4,4,Bottom,4.77,4.51,12/11/2022,NA,NA,1,C Brunner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not analysed.,Yes,0.5ml sperm + 0.1ml Bette's & 0.5ml sperm + 20킠 Bettes's,No,Test run.,CASA was not calibrated
Nov-22,Atenuis,Falcon Island north,Sperm concentration curve,AS,12/11/2022,18:57,5,5,Bottom,5.66,5.4,12/11/2022,NA,NA,1,C Brunner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not analysed.,Yes,0.5ml sperm + 0.1ml Bette's & 0.5ml sperm + 20킠 Bettes's,No,Test run.,CASA was not calibrated
Nov-22,Atenuis,Falcon Island north,Sperm concentration curve,AS,12/11/2022,18:59,6,6,Bottom,6.33,6.07,12/11/2022,NA,NA,1,C Brunner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not analysed.,Yes,0.5ml sperm + 0.1ml Bette's & 0.5ml sperm + 20킠 Bettes's,No,Test run.,CASA was not calibrated
Nov-22,Atenuis,Falcon Island north,Sperm concentration curve,AS,12/11/2022,19:05,7,7,Bottom,6.49,6.23,12/11/2022,NA,NA,1,C Brunner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not analysed.,Yes,0.5ml sperm + 0.1ml Bette's & 0.5ml sperm + 20킠 Bettes's,No,Test run.,CASA was not calibrated
