year,species,origin,cult_star,no_parents,endpoint,factor,tank,tank_rep,assess_date,larval_age,rep,vol_sampl,vol_conc,vol_subsampl,L_counted,L_total_sampl,density,L_tank_total,comments,use_in_model,reason_for_exclusion
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_02,1,14/11/2022,1,1,131,131,131,55,55,0.42,35687,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_02,1,14/11/2022,1,2,131,131,131,54,54,0.41,35038,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_02,1,14/11/2022,1,3,131,131,131,92,92,0.7,59695,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_02,1,15/11/2022,2,1,131,131,131,54,54,0.41,35038,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_02,1,15/11/2022,2,2,131,131,131,77,77,0.59,49962,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_02,1,15/11/2022,2,3,131,131,131,64,64,0.49,41527,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_02,1,16/11/2022,3,1,131,131,131,54,54,0.41,35038,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_02,1,16/11/2022,3,2,131,131,131,69,69,0.53,44771,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_02,1,16/11/2022,3,3,131,131,131,79,79,0.6,51260,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_02,1,17/11/2022,4,1,131,131,131,52,52,0.4,33740,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_02,1,17/11/2022,4,2,131,131,131,66,66,0.5,42824,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_02,1,17/11/2022,4,3,131,131,131,69,69,0.53,44771,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_02,1,18/11/2022,5,1,131,131,131,55,55,0.42,35687,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_02,1,18/11/2022,5,1,131,131,131,52,52,0.4,33740,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_02,1,18/11/2022,5,2,131,131,131,58,58,0.44,37634,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_02,1,18/11/2022,5,2,131,131,131,62,62,0.47,40229,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_02,1,18/11/2022,5,3,131,131,131,60,60,0.46,38931,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_02,1,18/11/2022,5,3,131,131,131,55,55,0.42,35687,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_04,2,14/11/2022,1,1,131,131,131,85,85,0.65,55153,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_04,2,14/11/2022,1,2,131,131,131,80,80,0.61,51908,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_04,2,14/11/2022,1,3,131,131,131,83,83,0.63,53855,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_04,2,15/11/2022,2,1,131,131,131,88,88,0.67,57099,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_04,2,15/11/2022,2,2,131,131,131,65,65,0.5,42176,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_04,2,15/11/2022,2,3,131,131,131,63,63,0.48,40878,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_04,2,16/11/2022,3,1,131,131,131,71,71,0.54,46069,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_04,2,16/11/2022,3,2,131,131,131,63,63,0.48,40878,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_04,2,16/11/2022,3,3,131,131,131,81,81,0.62,52557,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_04,2,17/11/2022,4,1,131,131,131,75,75,0.57,48664,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_04,2,17/11/2022,4,2,131,131,131,98,98,0.75,63588,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_04,2,17/11/2022,4,3,131,131,131,105,105,0.8,68130,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_04,2,18/11/2022,5,1,131,131,131,64,64,0.49,41527,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_04,2,18/11/2022,5,1,131,131,131,63,63,0.48,40878,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_04,2,18/11/2022,5,2,131,131,131,69,69,0.53,44771,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_04,2,18/11/2022,5,2,131,131,131,62,62,0.47,40229,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_04,2,18/11/2022,5,3,131,131,131,72,72,0.55,46718,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,AS,MN_04,2,18/11/2022,5,3,131,131,131,73,73,0.56,47366,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_06,1,14/11/2022,1,1,131,131,131,62,62,0.47,40229,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_06,1,14/11/2022,1,2,131,131,131,70,70,0.53,45420,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_06,1,14/11/2022,1,3,131,131,131,76,76,0.58,49313,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_06,1,15/11/2022,2,1,131,131,131,87,87,0.66,56450,3000 larvae removed by student from a different team,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_06,1,15/11/2022,2,2,131,131,131,90,90,0.69,58397,3000 larvae removed by student from a different team,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_06,1,15/11/2022,2,3,131,131,131,109,109,0.83,70725,3000 larvae removed by student from a different team,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_06,1,16/11/2022,3,1,131,131,131,101,101,0.77,65534,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_06,1,16/11/2022,3,2,131,131,131,70,70,0.53,45420,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_06,1,16/11/2022,3,3,131,131,131,80,80,0.61,51908,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_06,1,17/11/2022,4,1,131,131,131,69,69,0.53,44771,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_06,1,17/11/2022,4,2,131,131,131,78,78,0.6,50611,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_06,1,17/11/2022,4,3,131,131,131,74,74,0.56,48015,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_06,1,18/11/2022,5,1,131,131,131,60,60,0.46,38931,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_06,1,18/11/2022,5,1,131,131,131,49,49,0.37,31794,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_06,1,18/11/2022,5,2,131,131,131,62,62,0.47,40229,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_06,1,18/11/2022,5,2,131,131,131,69,69,0.53,44771,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_06,1,18/11/2022,5,3,131,131,131,56,56,0.43,36336,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_06,1,18/11/2022,5,3,131,131,131,56,56,0.43,36336,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_08,2,14/11/2022,1,1,131,131,131,76,76,0.58,49313,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_08,2,14/11/2022,1,2,131,131,131,88,88,0.67,57099,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_08,2,14/11/2022,1,3,131,131,131,68,68,0.52,44122,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_08,2,15/11/2022,2,1,131,131,131,79,79,0.6,51260,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_08,2,15/11/2022,2,2,131,131,131,81,81,0.62,52557,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_08,2,15/11/2022,2,3,131,131,131,84,84,0.64,54504,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_08,2,16/11/2022,3,1,131,131,131,92,92,0.7,59695,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_08,2,16/11/2022,3,2,131,131,131,159,159,1.21,103168,,No,Approximately double the density of any other counted replicate.
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_08,2,16/11/2022,3,3,131,131,131,97,97,0.74,62939,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_08,2,17/11/2022,4,1,131,131,131,79,79,0.6,51260,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_08,2,17/11/2022,4,2,131,131,131,107,107,0.82,69427,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_08,2,17/11/2022,4,3,131,131,131,83,83,0.63,53855,,Yes,NA
Nov-22,Atenuis,Falcon Island north (Palm islands),13/11/2022,9,Larval survival,M,MN_08,2,18/11/2022,5,1,131,131,131,80,80,0.61,51908,,Yes,NA
